state_id,inventory_bin,demand_signal,price_tier,calendar_type,pipeline_bin,action_id,action
62,stockout,high,discount,event_or_snap,large,10,premium / medium
63,stockout,high,regular,weekday,none,7,regular / large
64,stockout,high,regular,weekday,small,11,premium / large
65,stockout,high,regular,weekday,large,5,regular / small
66,stockout,high,regular,weekend,none,10,premium / medium
67,stockout,high,regular,weekend,small,2,discount / medium
68,stockout,high,regular,weekend,large,5,regular / small
69,stockout,high,regular,event_or_snap,none,3,discount / large
70,stockout,high,regular,event_or_snap,small,10,premium / medium
71,stockout,high,regular,event_or_snap,large,5,regular / small
72,stockout,high,premium,weekday,none,3,discount / large
73,stockout,high,premium,weekday,small,11,premium / large
74,stockout,high,premium,weekday,large,4,regular / none
75,stockout,high,premium,weekend,none,7,regular / large
76,stockout,high,premium,weekend,small,10,premium / medium
77,stockout,high,premium,weekend,large,8,premium / none
78,stockout,high,premium,event_or_snap,none,3,discount / large
79,stockout,high,premium,event_or_snap,small,9,premium / small
80,stockout,high,premium,event_or_snap,large,4,regular / none
81,low,low,discount,weekday,none,3,discount / large
82,low,low,discount,weekday,small,3,discount / large
83,low,low,discount,weekday,large,5,regular / small
84,low,low,discount,weekend,none,9,premium / small
85,low,low,discount,weekend,small,10,premium / medium
86,low,low,discount,weekend,large,6,regular / medium
87,low,low,discount,event_or_snap,none,5,regular / small
88,low,low,discount,event_or_snap,small,10,premium / medium
89,low,low,discount,event_or_snap,large,1,discount / small
90,low,low,regular,weekday,none,7,regular / large
91,low,low,regular,weekday,small,11,premium / large
92,low,low,regular,weekday,large,0,discount / none
93,low,low,regular,weekend,none,7,regular / large
94,low,low,regular,weekend,small,4,regular / none
95,low,low,regular,weekend,large,5,regular / small
96,low,low,regular,event_or_snap,none,3,discount / large
97,low,low,regular,event_or_snap,small,9,premium / small
98,low,low,regular,event_or_snap,large,3,discount / large
99,low,low,premium,weekday,none,11,premium / large
100,low,low,premium,weekday,small,8,premium / none
101,low,low,premium,weekday,large,4,regular / none
102,low,low,premium,weekend,none,5,regular / small
103,low,low,premium,weekend,small,4,regular / none
104,low,low,premium,weekend,large,11,premium / large
105,low,low,premium,event_or_snap,none,7,regular / large
106,low,low,premium,event_or_snap,small,10,premium / medium
107,low,low,premium,event_or_snap,large,1,discount / small
108,low,normal,discount,weekday,none,7,regular / large
109,low,normal,discount,weekday,small,6,regular / medium
110,low,normal,discount,weekday,large,8,premium / none
111,low,normal,discount,weekend,none,3,discount / large
112,low,normal,discount,weekend,small,4,regular / none
113,low,normal,discount,weekend,large,4,regular / none
114,low,normal,discount,event_or_snap,none,5,regular / small
115,low,normal,discount,event_or_snap,small,8,premium / none
116,low,normal,discount,event_or_snap,large,5,regular / small
117,low,normal,regular,weekday,none,3,discount / large
118,low,normal,regular,weekday,small,8,premium / none
119,low,normal,regular,weekday,large,1,discount / small
120,low,normal,regular,weekend,none,7,regular / large
121,low,normal,regular,weekend,small,7,regular / large
122,low,normal,regular,weekend,large,10,premium / medium
123,low,normal,regular,event_or_snap,none,9,premium / small
124,low,normal,regular,event_or_snap,small,9,premium / small
125,low,normal,regular,event_or_snap,large,8,premium / none
126,low,normal,premium,weekday,none,9,premium / small
127,low,normal,premium,weekday,small,5,regular / small
128,low,normal,premium,weekday,large,2,discount / medium
129,low,normal,premium,weekend,none,11,premium / large
130,low,normal,premium,weekend,small,7,regular / large
131,low,normal,premium,weekend,large,1,discount / small
132,low,normal,premium,event_or_snap,none,11,premium / large
133,low,normal,premium,event_or_snap,small,2,discount / medium
134,low,normal,premium,event_or_snap,large,6,regular / medium
135,low,high,discount,weekday,none,7,regular / large
136,low,high,discount,weekday,small,10,premium / medium
137,low,high,discount,weekday,large,9,premium / small
138,low,high,discount,weekend,none,1,discount / small
139,low,high,discount,weekend,small,9,premium / small
140,low,high,discount,weekend,large,1,discount / small
141,low,high,discount,event_or_snap,none,2,discount / medium
142,low,high,discount,event_or_snap,small,6,regular / medium
143,low,high,discount,event_or_snap,large,9,premium / small
144,low,high,regular,weekday,none,7,regular / large
145,low,high,regular,weekday,small,9,premium / small
146,low,high,regular,weekday,large,9,premium / small
147,low,high,regular,weekend,none,11,premium / large
148,low,high,regular,weekend,small,10,premium / medium
149,low,high,regular,weekend,large,1,discount / small
150,low,high,regular,event_or_snap,none,11,premium / large
151,low,high,regular,event_or_snap,small,6,regular / medium
152,low,high,regular,event_or_snap,large,8,premium / none
153,low,high,premium,weekday,none,3,discount / large
154,low,high,premium,weekday,small,10,premium / medium
155,low,high,premium,weekday,large,8,premium / none
156,low,high,premium,weekend,none,11,premium / large
157,low,high,premium,weekend,small,10,premium / medium
158,low,high,premium,weekend,large,8,premium / none
159,low,high,premium,event_or_snap,none,7,regular / large
160,low,high,premium,event_or_snap,small,11,premium / large
161,low,high,premium,event_or_snap,large,10,premium / medium
162,medium,low,discount,weekday,none,6,regular / medium
163,medium,low,discount,weekday,small,8,premium / none
164,medium,low,discount,weekday,large,2,discount / medium
165,medium,low,discount,weekend,none,3,discount / large
166,medium,low,discount,weekend,small,9,premium / small
167,medium,low,discount,weekend,large,8,premium / none
168,medium,low,discount,event_or_snap,none,1,discount / small
169,medium,low,discount,event_or_snap,small,0,discount / none
170,medium,low,discount,event_or_snap,large,1,discount / small
171,medium,low,regular,weekday,none,6,regular / medium
172,medium,low,regular,weekday,small,10,premium / medium
173,medium,low,regular,weekday,large,2,discount / medium
174,medium,low,regular,weekend,none,3,discount / large
175,medium,low,regular,weekend,small,3,discount / large
176,medium,low,regular,weekend,large,9,premium / small
177,medium,low,regular,event_or_snap,none,1,discount / small
178,medium,low,regular,event_or_snap,small,1,discount / small
179,medium,low,regular,event_or_snap,large,1,discount / small
180,medium,low,premium,weekday,none,3,discount / large
181,medium,low,premium,weekday,small,2,discount / medium
182,medium,low,premium,weekday,large,8,premium / none
183,medium,low,premium,weekend,none,4,regular / none
184,medium,low,premium,weekend,small,1,discount / small
185,medium,low,premium,weekend,large,4,regular / none
186,medium,low,premium,event_or_snap,none,5,regular / small
187,medium,low,premium,event_or_snap,small,1,discount / small
188,medium,low,premium,event_or_snap,large,2,discount / medium
189,medium,normal,discount,weekday,none,1,discount / small
190,medium,normal,discount,weekday,small,3,discount / large
191,medium,normal,discount,weekday,large,1,discount / small
192,medium,normal,discount,weekend,none,9,premium / small
193,medium,normal,discount,weekend,small,10,premium / medium
194,medium,normal,discount,weekend,large,2,discount / medium
195,medium,normal,discount,event_or_snap,none,3,discount / large
196,medium,normal,discount,event_or_snap,small,2,discount / medium
197,medium,normal,discount,event_or_snap,large,10,premium / medium
198,medium,normal,regular,weekday,none,11,premium / large
199,medium,normal,regular,weekday,small,2,discount / medium
200,medium,normal,regular,weekday,large,8,premium / none
201,medium,normal,regular,weekend,none,11,premium / large
202,medium,normal,regular,weekend,small,4,regular / none
203,medium,normal,regular,weekend,large,2,discount / medium
204,medium,normal,regular,event_or_snap,none,9,premium / small
205,medium,normal,regular,event_or_snap,small,4,regular / none
206,medium,normal,regular,event_or_snap,large,5,regular / small
207,medium,normal,premium,weekday,none,4,regular / none
208,medium,normal,premium,weekday,small,4,regular / none
209,medium,normal,premium,weekday,large,0,discount / none
210,medium,normal,premium,weekend,none,3,discount / large
211,medium,normal,premium,weekend,small,5,regular / small
212,medium,normal,premium,weekend,large,8,premium / none
213,medium,normal,premium,event_or_snap,none,3,discount / large
214,medium,normal,premium,event_or_snap,small,8,premium / none
215,medium,normal,premium,event_or_snap,large,9,premium / small
216,medium,high,discount,weekday,none,7,regular / large
217,medium,high,discount,weekday,small,9,premium / small
218,medium,high,discount,weekday,large,4,regular / none
219,medium,high,discount,weekend,none,4,regular / none
220,medium,high,discount,weekend,small,4,regular / none
221,medium,high,discount,weekend,large,4,regular / none
222,medium,high,discount,event_or_snap,none,3,discount / large
223,medium,high,discount,event_or_snap,small,10,premium / medium
224,medium,high,discount,event_or_snap,large,9,premium / small
225,medium,high,regular,weekday,none,3,discount / large
226,medium,high,regular,weekday,small,6,regular / medium
227,medium,high,regular,weekday,large,11,premium / large
228,medium,high,regular,weekend,none,10,premium / medium
229,medium,high,regular,weekend,small,10,premium / medium
230,medium,high,regular,weekend,large,4,regular / none
231,medium,high,regular,event_or_snap,none,3,discount / large
232,medium,high,regular,event_or_snap,small,9,premium / small
233,medium,high,regular,event_or_snap,large,9,premium / small
234,medium,high,premium,weekday,none,11,premium / large
235,medium,high,premium,weekday,small,9,premium / small
236,medium,high,premium,weekday,large,5,regular / small
237,medium,high,premium,weekend,none,8,premium / none
238,medium,high,premium,weekend,small,6,regular / medium
239,medium,high,premium,weekend,large,4,regular / none
240,medium,high,premium,event_or_snap,none,10,premium / medium
241,medium,high,premium,event_or_snap,small,5,regular / small
242,medium,high,premium,event_or_snap,large,4,regular / none
243,high,low,discount,weekday,none,9,premium / small
244,high,low,discount,weekday,small,4,regular / none
245,high,low,discount,weekday,large,4,regular / none
246,high,low,discount,weekend,none,1,discount / small
247,high,low,discount,weekend,small,1,discount / small
248,high,low,discount,weekend,large,0,discount / none
249,high,low,discount,event_or_snap,none,2,discount / medium
250,high,low,discount,event_or_snap,small,0,discount / none
251,high,low,discount,event_or_snap,large,4,regular / none
252,high,low,regular,weekday,none,0,discount / none
253,high,low,regular,weekday,small,7,regular / large
254,high,low,regular,weekday,large,9,premium / small
255,high,low,regular,weekend,none,1,discount / small
256,high,low,regular,weekend,small,6,regular / medium
257,high,low,regular,weekend,large,8,premium / none
258,high,low,regular,event_or_snap,none,6,regular / medium
259,high,low,regular,event_or_snap,small,5,regular / small
260,high,low,regular,event_or_snap,large,11,premium / large
261,high,low,premium,weekday,none,0,discount / none
262,high,low,premium,weekday,small,0,discount / none
263,high,low,premium,weekday,large,6,regular / medium
264,high,low,premium,weekend,none,1,discount / small
265,high,low,premium,weekend,small,8,premium / none
266,high,low,premium,weekend,large,8,premium / none
267,high,low,premium,event_or_snap,none,4,regular / none
268,high,low,premium,event_or_snap,small,1,discount / small
269,high,low,premium,event_or_snap,large,10,premium / medium
270,high,normal,discount,weekday,none,1,discount / small
271,high,normal,discount,weekday,small,8,premium / none
272,high,normal,discount,weekday,large,0,discount / none
273,high,normal,discount,weekend,none,5,regular / small
274,high,normal,discount,weekend,small,0,discount / none
275,high,normal,discount,weekend,large,0,discount / none
276,high,normal,discount,event_or_snap,none,5,regular / small
277,high,normal,discount,event_or_snap,small,0,discount / none
278,high,normal,discount,event_or_snap,large,4,regular / none
279,high,normal,regular,weekday,none,1,discount / small
280,high,normal,regular,weekday,small,0,discount / none
281,high,normal,regular,weekday,large,8,premium / none
282,high,normal,regular,weekend,none,8,premium / none
283,high,normal,regular,weekend,small,0,discount / none
284,high,normal,regular,weekend,large,5,regular / small
285,high,normal,regular,event_or_snap,none,9,premium / small
286,high,normal,regular,event_or_snap,small,1,discount / small
287,high,normal,regular,event_or_snap,large,8,premium / none
288,high,normal,premium,weekday,none,4,regular / none
289,high,normal,premium,weekday,small,1,discount / small
290,high,normal,premium,weekday,large,0,discount / none
291,high,normal,premium,weekend,none,7,regular / large
292,high,normal,premium,weekend,small,2,discount / medium
293,high,normal,premium,weekend,large,8,premium / none
294,high,normal,premium,event_or_snap,none,1,discount / small
295,high,normal,premium,event_or_snap,small,8,premium / none
296,high,normal,premium,event_or_snap,large,0,discount / none
297,high,high,discount,weekday,none,1,discount / small
298,high,high,discount,weekday,small,6,regular / medium
299,high,high,discount,weekday,large,0,discount / none
300,high,high,discount,weekend,none,5,regular / small
301,high,high,discount,weekend,small,5,regular / small
302,high,high,discount,weekend,large,0,discount / none
303,high,high,discount,event_or_snap,none,9,premium / small
304,high,high,discount,event_or_snap,small,2,discount / medium
305,high,high,discount,event_or_snap,large,8,premium / none
306,high,high,regular,weekday,none,11,premium / large
307,high,high,regular,weekday,small,8,premium / none
308,high,high,regular,weekday,large,0,discount / none
309,high,high,regular,weekend,none,5,regular / small
310,high,high,regular,weekend,small,5,regular / small
311,high,high,regular,weekend,large,0,discount / none
312,high,high,regular,event_or_snap,none,5,regular / small
313,high,high,regular,event_or_snap,small,5,regular / small
314,high,high,regular,event_or_snap,large,4,regular / none
315,high,high,premium,weekday,none,8,premium / none
316,high,high,premium,weekday,small,2,discount / medium
317,high,high,premium,weekday,large,4,regular / none
318,high,high,premium,weekend,none,1,discount / small
319,high,high,premium,weekend,small,9,premium / small
320,high,high,premium,weekend,large,0,discount / none
321,high,high,premium,event_or_snap,none,1,discount / small
322,high,high,premium,event_or_snap,small,2,discount / medium
323,high,high,premium,event_or_snap,large,4,regular / none
324,excess,low,discount,weekday,none,1,discount / small
325,excess,low,discount,weekday,small,10,premium / medium
326,excess,low,discount,weekday,large,0,discount / none
327,excess,low,discount,weekend,none,1,discount / small
328,excess,low,discount,weekend,small,9,premium / small
329,excess,low,discount,weekend,large,0,discount / none
330,excess,low,discount,event_or_snap,none,2,discount / medium
331,excess,low,discount,event_or_snap,small,0,discount / none
332,excess,low,discount,event_or_snap,large,1,discount / small
333,excess,low,regular,weekday,none,5,regular / small
334,excess,low,regular,weekday,small,0,discount / none
335,excess,low,regular,weekday,large,8,premium / none
336,excess,low,regular,weekend,none,3,discount / large
337,excess,low,regular,weekend,small,1,discount / small
338,excess,low,regular,weekend,large,0,discount / none
339,excess,low,regular,event_or_snap,none,10,premium / medium
340,excess,low,regular,event_or_snap,small,9,premium / small
341,excess,low,regular,event_or_snap,large,4,regular / none
342,excess,low,premium,weekday,none,3,discount / large
343,excess,low,premium,weekday,small,8,premium / none
344,excess,low,premium,weekday,large,4,regular / none
345,excess,low,premium,weekend,none,5,regular / small
346,excess,low,premium,weekend,small,2,discount / medium
347,excess,low,premium,weekend,large,8,premium / none
348,excess,low,premium,event_or_snap,none,0,discount / none
349,excess,low,premium,event_or_snap,small,1,discount / small
350,excess,low,premium,event_or_snap,large,4,regular / none
351,excess,normal,discount,weekday,none,6,regular / medium
352,excess,normal,discount,weekday,small,4,regular / none
353,excess,normal,discount,weekday,large,8,premium / none
354,excess,normal,discount,weekend,none,8,premium / none
355,excess,normal,discount,weekend,small,0,discount / none
356,excess,normal,discount,weekend,large,2,discount / medium
357,excess,normal,discount,event_or_snap,none,3,discount / large
358,excess,normal,discount,event_or_snap,small,9,premium / small
359,excess,normal,discount,event_or_snap,large,8,premium / none
360,excess,normal,regular,weekday,none,7,regular / large
361,excess,normal,regular,weekday,small,8,premium / none
362,excess,normal,regular,weekday,large,8,premium / none
363,excess,normal,regular,weekend,none,11,premium / large
364,excess,normal,regular,weekend,small,6,regular / medium
365,excess,normal,regular,weekend,large,6,regular / medium
366,excess,normal,regular,event_or_snap,none,8,premium / none
367,excess,normal,regular,event_or_snap,small,8,premium / none
368,excess,normal,regular,event_or_snap,large,4,regular / none
369,excess,normal,premium,weekday,none,9,premium / small
370,excess,normal,premium,weekday,small,5,regular / small
371,excess,normal,premium,weekday,large,9,premium / small
372,excess,normal,premium,weekend,none,1,discount / small
373,excess,normal,premium,weekend,small,8,premium / none
374,excess,normal,premium,weekend,large,4,regular / none
375,excess,normal,premium,event_or_snap,none,5,regular / small
376,excess,normal,premium,event_or_snap,small,8,premium / none
377,excess,normal,premium,event_or_snap,large,1,discount / small
378,excess,high,discount,weekday,none,0,discount / none
379,excess,high,discount,weekday,small,0,discount / none
380,excess,high,discount,weekday,large,1,discount / small
381,excess,high,discount,weekend,none,0,discount / none
382,excess,high,discount,weekend,small,1,discount / small
383,excess,high,discount,weekend,large,3,discount / large
384,excess,high,discount,event_or_snap,none,0,discount / none
385,excess,high,discount,event_or_snap,small,4,regular / none
386,excess,high,discount,event_or_snap,large,10,premium / medium
387,excess,high,regular,weekday,none,4,regular / none
388,excess,high,regular,weekday,small,9,premium / small
389,excess,high,regular,weekday,large,4,regular / none
390,excess,high,regular,weekend,none,1,discount / small
391,excess,high,regular,weekend,small,0,discount / none
392,excess,high,regular,weekend,large,0,discount / none
393,excess,high,regular,event_or_snap,none,0,discount / none
394,excess,high,regular,event_or_snap,small,7,regular / large
395,excess,high,regular,event_or_snap,large,2,discount / medium
396,excess,high,premium,weekday,none,6,regular / medium
397,excess,high,premium,weekday,small,6,regular / medium
398,excess,high,premium,weekday,large,7,regular / large
399,excess,high,premium,weekend,none,0,discount / none
400,excess,high,premium,weekend,small,3,discount / large
401,excess,high,premium,weekend,large,2,discount / medium
402,excess,high,premium,event_or_snap,none,0,discount / none
403,excess,high,premium,event_or_snap,small,0,discount / none
404,excess,high,premium,event_or_snap,large,3,discount / large
