date,sales,sell_price,calendar_type,demand_signal,split
2012-06-11,51,1.48,event_or_snap,high,train
2012-06-12,47,1.48,event_or_snap,high,train
2012-06-13,36,1.48,event_or_snap,high,train
2012-06-14,46,1.48,weekday,high,train
2012-06-15,58,1.48,event_or_snap,high,train
2012-06-16,51,1.48,weekend,high,train
2012-06-17,65,1.48,event_or_snap,high,train
2012-06-18,24,1.48,weekday,high,train
2012-06-19,20,1.48,weekday,high,train
2012-06-20,18,1.48,weekday,high,train
2012-06-21,21,1.48,event_or_snap,high,train
2012-06-22,62,1.48,weekday,high,train
2012-06-23,58,1.48,weekend,high,train
2012-06-24,71,1.48,weekend,high,train
2012-06-25,67,1.48,weekday,high,train
2012-06-26,52,1.48,weekday,high,train
2012-06-27,48,1.48,weekday,high,train
2012-06-28,35,1.48,weekday,high,train
2012-06-29,30,1.48,weekday,high,train
2012-06-30,34,1.48,weekend,high,train
2012-07-01,29,1.48,event_or_snap,high,train
2012-07-02,33,1.48,weekday,high,train
2012-07-03,36,1.48,event_or_snap,high,train
2012-07-04,44,1.48,event_or_snap,high,train
2012-07-05,33,1.48,event_or_snap,high,train
2012-07-06,46,1.48,event_or_snap,high,train
2012-07-07,42,1.48,event_or_snap,high,train
2012-07-08,34,1.48,weekend,high,train
2012-07-09,16,1.48,event_or_snap,high,train
2012-07-10,27,1.48,weekday,high,train
2012-07-11,17,1.48,event_or_snap,high,train
2012-07-12,18,1.48,event_or_snap,normal,train
2012-07-13,38,1.48,event_or_snap,normal,train
2012-07-14,48,1.48,weekend,normal,train
2012-07-15,51,1.48,event_or_snap,normal,train
2012-07-16,51,1.48,weekday,normal,train
2012-07-17,51,1.48,weekday,high,train
2012-07-18,30,1.48,weekday,high,train
2012-07-19,53,1.48,weekday,high,train
2012-07-20,49,1.48,event_or_snap,high,train
2012-07-21,76,1.48,weekend,high,train
2012-07-22,62,1.48,weekend,high,train
2012-07-23,24,1.48,weekday,high,train
2012-07-24,29,1.48,weekday,high,train
2012-07-25,29,1.48,weekday,high,train
2012-07-26,26,1.48,weekday,high,train
2012-07-27,31,1.48,weekday,high,train
2012-07-28,70,1.48,weekend,high,train
2012-07-29,56,1.48,weekend,high,train
2012-07-30,46,1.48,weekday,high,train
2012-07-31,42,1.48,weekday,high,train
2012-08-01,41,1.48,event_or_snap,high,train
2012-08-02,43,1.48,weekday,high,train
2012-08-03,47,1.48,event_or_snap,high,train
2012-08-04,63,1.48,weekend,high,train
2012-08-05,32,1.48,event_or_snap,high,train
2012-08-06,47,1.48,event_or_snap,high,train
2012-08-07,40,1.48,event_or_snap,high,train
2012-08-08,39,1.48,weekday,high,train
2012-08-09,45,1.48,event_or_snap,high,train
2012-08-10,54,1.48,weekday,high,train
2012-08-11,78,1.48,event_or_snap,high,train
2012-08-12,62,1.48,event_or_snap,high,train
2012-08-13,45,1.48,event_or_snap,high,train
2012-08-14,41,1.48,weekday,high,train
2012-08-15,45,1.48,event_or_snap,high,train
2012-08-16,37,1.48,weekday,high,train
2012-08-17,51,1.48,weekday,high,train
2012-08-18,50,1.48,weekend,high,train
2012-08-19,45,1.48,event_or_snap,high,train
2012-08-20,44,1.48,weekday,high,train
2012-08-21,41,1.48,weekday,high,train
2012-08-22,20,1.48,weekday,high,train
2012-08-23,30,1.48,weekday,high,train
2012-08-24,35,1.48,weekday,high,train
2012-08-25,42,1.48,weekend,high,train
2012-08-26,69,1.48,weekend,high,train
2012-08-27,52,1.48,weekday,high,train
2012-08-28,35,1.48,weekday,high,train
2012-08-29,33,1.48,weekday,high,train
2012-08-30,42,1.48,weekday,high,train
2012-08-31,44,1.48,weekday,high,train
2012-09-01,50,1.48,event_or_snap,high,train
2012-09-02,50,1.48,weekend,high,train
2012-09-03,57,1.48,event_or_snap,high,train
2012-09-04,49,1.48,weekday,high,train
2012-09-05,32,1.48,event_or_snap,high,train
2012-09-06,43,1.48,event_or_snap,high,train
2012-09-07,33,1.48,event_or_snap,high,train
2012-09-08,42,1.48,weekend,high,train
2012-09-09,45,1.48,event_or_snap,high,train
2012-09-10,15,1.48,weekday,high,train
2012-09-11,28,1.48,event_or_snap,high,train
2012-09-12,25,1.48,event_or_snap,high,train
2012-09-13,26,1.48,event_or_snap,normal,train
2012-09-14,30,1.48,weekday,normal,train
2012-09-15,50,1.48,event_or_snap,normal,train
2012-09-16,51,1.48,weekend,normal,train
2012-09-17,33,1.48,weekday,normal,train
2012-09-18,30,1.48,weekday,high,train
2012-09-19,24,1.48,weekday,high,train
2012-09-20,44,1.48,weekday,high,train
2012-09-21,34,1.48,weekday,high,train
2012-09-22,52,1.48,weekend,high,train
2012-09-23,45,1.48,weekend,high,train
2012-09-24,40,1.48,weekday,high,train
2012-09-25,35,1.48,weekday,high,train
2012-09-26,40,1.48,weekday,high,train
2012-09-27,28,1.48,weekday,high,train
2012-09-28,40,1.48,weekday,high,train
2012-09-29,27,1.48,weekend,high,train
2012-09-30,39,1.48,weekend,high,train
2012-10-01,45,1.48,event_or_snap,high,train
2012-10-02,36,1.48,weekday,high,train
2012-10-03,44,1.48,event_or_snap,high,train
2012-10-04,38,1.48,weekday,high,train
2012-10-05,43,1.48,event_or_snap,high,train
2012-10-06,53,1.48,event_or_snap,high,train
2012-10-07,28,1.48,event_or_snap,high,train
2012-10-08,38,1.48,event_or_snap,high,train
2012-10-09,34,1.48,event_or_snap,high,train
2012-10-10,25,1.48,weekday,high,train
2012-10-11,30,1.48,event_or_snap,high,train
2012-10-12,52,1.48,event_or_snap,high,train
2012-10-13,46,1.48,event_or_snap,high,train
2012-10-14,40,1.48,weekend,high,train
